2021-1-1清洗3#、4#、5#过滤器                                 6:58分再生2#阳床，进酸浓度：3.0% 3.0%,2021-1-1                                                     13:41再生2#阴床，进碱浓度：3.0% 3.0%                   15:20分中和排水 PH：1# 8.9  2# 9.0,2021-1-1清洗3#、4#、5#过滤器                                 16:32分再生3#阳床，进酸浓度：3.0% 3.0%
2021-1-2清洗3#、4#、5#过滤器,2021-1-2清洗4#过滤器,"2021-1-2清洗1#、3#过滤器
16:27再生2#阴床，进碱浓度：3.0% 3.0%                   18:30分中和排水 PH：1# 8.8  2# 7.6
20:42分再生2#阳床，进酸浓度：3.0% 3.0%"
2021-1-3清洗4#、5#过滤器,,2021-1-3清洗1#、3#过滤器                                            16:20再生3#阴床，进碱浓度：3.0% 3.0%                   18:28分中和排水 PH：1# 9.5  2# 7.0                22:56分再生2#阳床，进酸浓度：3.0% 3.0%
2021-1-4                                           02:08再生2#阴床，进碱浓度：3.0% 3.0%                   04:25分中和排水 （PH：1# 7.7  2# 8.41 ）               06:22分再生3#阳床，进酸浓度：3.0% 3.0%,"2021-1-412:26再生1#阴床，进碱浓度：3.2% 3.0%    
14:30分中和排水 （PH：1# 8.1  2# 7.6 ）  ",2021-1-416:00分再生2#阳床，进酸浓度：3.0% 3.0%
"2021-1-5清洗1#、3#过滤器
1：00分中和排水 （PH：1# 8.5  2# 8.7 ）  
2:12分再生3#阳床，进酸浓度：3.0% 3.0%",2021-1-5清洗4#、5#过滤器,2021-1-5清洗1#、3#过滤器                                 20:09分再生2#阳床，进酸浓度：3.0% 3.0%             23:10分中和排水（PH 1# 8.4 2# 8.4)
2021-1-6清洗1#、3#过滤器                                 4:20分再生3#阳床，进酸浓度：3.0% 3.0%             ,"2021-1-6清洗4#、5#过滤器                                 10：57分再生3#阴床，进碱浓度：3.2% 3.0%  
 14:20分中和排水（PH 1# 8.6 2# 8.2)",2021-1-6清洗3#、4#过滤器                            20:00分再生2#阳床，进酸浓度：3.0% 3.0%
2021-1-7清洗1#、3#、4#、5#过滤器,2021-1-7清洗4#、5#过滤器                               11:05分再生2#阴床，进碱浓度：3.2% 3.0%     13:20分中和排水 （PH：1# 7.7  2# 8.41 ）        14:56分再生3#阳床，进酸浓度：3.0% 3.0%,2021-1-718:52分再生1#阴床，进碱浓度：3.2% 3.0%     21:28分中和排水 （PH：1# 8.4  2# 5.69 ）        22:45分再生2#阳床，进酸浓度：3.0% 3.0%
2021-1-8清洗1#、3#、4#、5#过滤器,2021-1-8清洗4#、5#过滤器                           10:30分中和排水 （PH：1# 8.4  2# 5.69 ）,2021-1-817:22再生1#混床，进碱浓度：2.5% 2.5%，进酸浓度：2.6% 2.6%                                21:43分中和排水 （PH：1# 5.4  2# 5.82 ）      根据水质205b由10%调节到20%
2021-1-9清洗3#、4#、5#过滤器                       00:53再生3#阳床，进碱浓度：3.0% 3.1%，    04:19再生2#阳床，进碱浓度：3.3% 3.1%，     06:30分中和排水 （PH：1# 7.81  2# 8.26 ） ,2021-1-913:37分再生3#混床，进酸浓度：3.0%，3.0%。进碱浓度：3.0%，3.0%.,2021-1-9清洗3#、4#、5#过滤器                       20:46分中和排水 （PH：1# 7.81  2# 8.26 ）
2021-1-10清洗1#、3#、4#、5#过滤器,2021-1-1008：48再生2#阳床，进碱浓度：3.0% 3.1%          10:07分再生3#阴床，进碱浓度：3.2% 3.0%      13:12分中和排水 （PH：1# 7.81  2# 8.26 ）       14:33再生3#阳床，进碱浓度：3.0% 3.1%,2021-1-10清洗1#、3#、4#、5#过滤器
2021-1-11清洗3#、4#、5#过滤器,"2021-1-11清洗5#过滤器
12:58分再生2#阴床，进碱浓度：3.2% 3.1%  
15:05分中和排水 （PH：1# 8.16  2# 8.52 ） ",2021-1-11清洗3#、4#过滤器                                               16:12再生3#阳床，进碱浓度：3.0% 3.1%
2021-1-12清洗1#、3#、5#过滤器                                               04:10分再生2#阳床，进酸浓度：3.0% 3.1%       06:15分中和排水 （PH：1# 5.43  2# 8.61 ）  07：26分再生1#阴床，进碱浓度：3.0% 3.0%,2021-1-12清洗1#、4#、5#过滤器,2021-1-12清洗1#、3#、4#、5#过滤器                                                         20:55分再生2#阳床，进酸浓度：3.0% 3.1%             22:50分中和排水 （PH：1# 9.43  2# 9.05 ）
